enq_qdepth1,deq_timedelta1,deq_qdepth1, enq_qdepth2, deq_timedelta2, deq_qdepth2,enq_qdepth3,deq_timedelta3,deq_qdepth3,Buffer,ReportedBitrate,FPS,CalcBitrate,q_size
1.0,135.0,2.0,0.0,17.0,0.0,0.0,65.0,0.0,3.0,675.0,18.0,94284.0,1.0
2.0,428.0,2.0,0.0,58.0,0.0,0.0,57.0,0.0,3.0,699.0,18.0,159530.0,1.0
2.0,175.0,1.0,0.0,19.0,0.0,0.0,74.0,0.0,4.0,667.0,18.0,171334.0,1.0
1.0,250.0,1.0,0.0,18.0,0.0,0.0,63.0,0.0,4.0,649.0,18.0,212156.0,1.0
2.0,1041.0,0.0,0.0,58.0,0.0,0.0,96.0,0.0,5.0,800.0,19.0,38176.0,1.0
13.0,433.0,2.0,0.0,49.0,0.0,0.0,75.0,0.0,5.0,925.0,19.0,156943.0,1.0
1.0,210.0,0.0,0.0,47.0,0.0,0.0,52.0,0.0,5.0,644.0,18.0,121448.0,1.0
0.0,2119.0,3.0,0.0,82.0,0.0,0.0,27.0,0.0,5.0,3278.0,30.0,267375.0,1.0
5.0,961.0,1.0,0.0,46.0,0.0,0.0,84.0,0.0,5.0,801.0,19.0,89269.0,1.0
0.0,271.0,0.0,0.0,22.0,0.0,0.0,68.0,0.0,5.0,644.0,18.0,169157.0,1.0
0.0,133.0,0.0,0.0,18.0,0.0,0.0,94.0,0.0,5.0,666.0,18.0,210553.0,1.0
7.0,469.0,1.0,0.0,17.0,0.0,0.0,86.0,0.0,5.0,832.0,19.0,106152.0,1.0
7.0,433.0,5.0,0.0,38.0,0.0,0.0,96.0,0.0,5.0,881.0,19.0,79998.0,1.0
1.0,493.0,1.0,0.0,76.0,0.0,0.0,80.0,0.0,5.0,666.0,18.0,184849.0,1.0
0.0,4146.0,4.0,0.0,53.0,0.0,0.0,25.0,0.0,5.0,3284.0,30.0,277738.0,1.0
1.0,213.0,0.0,0.0,55.0,0.0,0.0,61.0,0.0,5.0,1569.0,23.0,36461.0,1.0
1.0,4713.0,13.0,0.0,56.0,0.0,0.0,32.0,0.0,6.0,3309.0,30.0,275881.0,1.0
2.0,3117.0,9.0,0.0,63.0,0.0,0.0,37.0,0.0,6.0,3311.0,30.0,283496.0,1.0
0.0,2115.0,4.0,0.0,52.0,0.0,0.0,43.0,0.0,6.0,3305.0,30.0,266179.0,1.0
10.0,1497.0,1.0,0.0,50.0,0.0,0.0,85.0,0.0,6.0,1188.0,21.0,114372.0,1.0
0.0,236.0,0.0,0.0,48.0,0.0,0.0,69.0,0.0,6.0,644.0,18.0,175411.0,1.0
0.0,251.0,1.0,0.0,51.0,0.0,0.0,57.0,0.0,6.0,642.0,18.0,177057.0,1.0
0.0,303.0,1.0,0.0,64.0,0.0,0.0,50.0,0.0,6.0,3288.0,30.0,265774.0,1.0
0.0,451.0,0.0,0.0,74.0,0.0,0.0,52.0,0.0,6.0,3299.0,30.0,278286.0,1.0
0.0,921.0,1.0,0.0,52.0,0.0,0.0,68.0,0.0,6.0,3286.0,30.0,273070.0,1.0
7.0,634.0,1.0,0.0,58.0,0.0,0.0,82.0,0.0,6.0,963.0,20.0,136006.0,1.0
2.0,2607.0,4.0,0.0,98.0,0.0,0.0,82.0,0.0,6.0,851.0,19.0,107195.0,1.0
2.0,868.0,2.0,0.0,72.0,0.0,0.0,95.0,0.0,6.0,757.0,19.0,165683.0,1.0
5.0,447.0,0.0,0.0,35.0,0.0,0.0,38.0,0.0,6.0,1908.0,24.0,195934.0,1.0
0.0,165.0,0.0,0.0,73.0,0.0,0.0,66.0,0.0,6.0,651.0,18.0,96806.0,1.0
1.0,205.0,0.0,0.0,26.0,0.0,0.0,59.0,0.0,6.0,644.0,18.0,195046.0,1.0
2.0,967.0,0.0,0.0,73.0,0.0,0.0,94.0,0.0,6.0,829.0,19.0,38148.0,1.0
1.0,5526.0,7.0,0.0,44.0,0.0,0.0,47.0,0.0,6.0,1857.0,24.0,80173.0,1.0
1.0,980.0,3.0,0.0,90.0,0.0,0.0,101.0,0.0,6.0,777.0,19.0,55635.0,1.0
