enq_qdepth1,deq_timedelta1,deq_qdepth1, enq_qdepth2, deq_timedelta2, deq_qdepth2,enq_qdepth3,deq_timedelta3,deq_qdepth3,Buffer,ReportedBitrate,FPS,CalcBitrate,q_size
0.0,2043.0,9.0,0.0,102.0,0.0,0.0,49.0,0.0,7.064,3312.0,30.0,464.0,0.0
0.0,128.0,0.0,0.0,51.0,0.0,0.0,62.0,0.0,11.089,3312.0,30.0,2914.0,0.0
0.0,161.0,0.0,0.0,73.0,0.0,0.0,76.0,0.0,14.298,3312.0,30.0,3539.0,0.0
1.0,5438.0,12.0,0.0,77.0,0.0,0.0,48.0,0.0,13.236,3312.0,30.0,4138.0,0.0
0.0,201.0,0.0,0.0,49.0,0.0,0.0,107.0,0.0,16.182,3312.0,30.0,4937.0,0.0
0.0,459.0,0.0,0.0,54.0,0.0,0.0,65.0,0.0,15.118,3312.0,30.0,5578.0,0.0
4.0,530.0,1.0,0.0,88.0,0.0,0.0,77.0,0.0,14.328,3312.0,30.0,6272.0,0.0
1.0,2690.0,4.0,0.0,77.0,0.0,0.0,49.0,0.0,16.198,3312.0,30.0,7790.0,0.0
0.0,464.0,0.0,0.0,41.0,0.0,0.0,59.0,0.0,15.134,3312.0,30.0,8443.0,0.0
3.0,2086.0,6.0,0.0,116.0,0.0,0.0,57.0,0.0,14.34,3312.0,30.0,9151.0,0.0
8.0,5478.0,10.0,0.0,46.0,0.0,0.0,73.0,0.0,13.277,3312.0,30.0,9906.0,0.0
3.0,4211.0,0.0,0.0,108.0,0.0,0.0,50.0,0.0,16.213,3312.0,30.0,10736.0,0.0
4.0,3835.0,11.0,0.0,51.0,0.0,0.0,47.0,0.0,15.166,3312.0,30.0,11353.0,0.0
7.0,1250.0,2.0,0.0,61.0,0.0,0.0,25.0,0.0,14.124,3312.0,30.0,14495.0,0.0
7.0,1339.0,7.0,0.0,20.0,0.0,0.0,44.0,0.0,12.273,3312.0,30.0,16003.0,0.0
4.0,6460.0,20.0,0.0,34.0,0.0,0.0,62.0,0.0,11.214,3312.0,30.0,16701.0,0.0
0.0,3559.0,15.0,0.0,54.0,0.0,0.0,45.0,0.0,14.148,3312.0,30.0,17326.0,0.0
0.0,5857.0,14.0,0.0,35.0,0.0,0.0,31.0,0.0,13.359,3312.0,30.0,17994.0,0.0
6.0,927.0,0.0,0.0,48.0,0.0,0.0,22.0,0.0,12.292,3312.0,30.0,18739.0,0.0
1.0,5678.0,12.0,0.0,41.0,0.0,0.0,65.0,0.0,10.171,3312.0,30.0,20133.0,0.0
0.0,7405.0,1.0,0.0,73.0,0.0,0.0,22.0,0.0,9.394,3312.0,30.0,20808.0,0.0
0.0,3389.0,0.0,0.0,77.0,0.0,0.0,62.0,0.0,8.329,3312.0,30.0,21550.0,0.0
2.0,2614.0,14.0,0.0,44.0,0.0,0.0,65.0,0.0,8.338,1867.0,24.0,24100.0,0.0
4.0,1086.0,2.0,0.0,95.0,0.0,0.0,63.0,0.0,12.351,1867.0,24.0,26763.0,0.0
9.0,2151.0,2.0,0.0,62.0,0.0,0.0,78.0,0.0,11.286,1867.0,24.0,27207.0,0.0
0.0,2085.0,6.0,0.0,67.0,0.0,0.0,61.0,0.0,10.222,1867.0,24.0,27545.0,0.0
2.0,6294.0,20.0,0.0,49.0,0.0,0.0,71.0,0.0,13.158,1867.0,24.0,27951.0,0.0
0.0,1322.0,0.0,0.0,73.0,0.0,0.0,41.0,0.0,12.367,1867.0,24.0,28372.0,0.0
8.0,1469.0,3.0,0.0,109.0,0.0,0.0,58.0,0.0,7.318,1867.0,24.0,30233.0,0.0
13.0,2322.0,4.0,0.0,68.0,0.0,0.0,64.0,0.0,6.255,1867.0,24.0,30642.0,0.0
0.0,3543.0,2.0,0.0,53.0,0.0,0.0,74.0,0.0,9.196,1867.0,24.0,30998.0,0.0
1.0,3837.0,5.0,0.0,59.0,0.0,0.0,68.0,0.0,8.142,1867.0,24.0,32889.0,0.0
9.0,3253.0,8.0,0.0,68.0,0.0,0.0,58.0,0.0,7.354,1867.0,24.0,33272.0,0.0
4.0,2990.0,12.0,0.0,68.0,0.0,0.0,41.0,0.0,3.374,1867.0,24.0,34864.0,0.0
5.0,2470.0,1.0,0.0,43.0,0.0,0.0,61.0,0.0,4.182,1867.0,24.0,36068.0,0.0
7.0,3748.0,1.0,0.0,58.0,0.0,0.0,42.0,0.0,3.389,1867.0,24.0,36500.0,0.0
4.0,4218.0,20.0,0.0,52.0,0.0,0.0,74.0,0.0,2.322,1867.0,24.0,36908.0,0.0
0.0,143.0,0.0,0.0,72.0,0.0,0.0,59.0,0.0,5.257,639.0,18.0,37339.0,0.0
1.0,1014.0,4.0,0.0,105.0,0.0,0.0,97.0,0.0,3.291,639.0,18.0,38050.0,0.0
0.0,3110.0,11.0,0.0,58.0,0.0,0.0,61.0,0.0,6.212,639.0,18.0,38191.0,0.0
1.0,251.0,0.0,0.0,38.0,0.0,0.0,99.0,0.0,9.143,639.0,18.0,38321.0,0.0
0.0,1258.0,4.0,0.0,39.0,0.0,0.0,94.0,0.0,8.217,639.0,18.0,38462.0,0.0
0.0,597.0,1.0,0.0,62.0,0.0,0.0,39.0,0.0,11.155,639.0,18.0,38591.0,0.0
10.0,5124.0,10.0,0.0,44.0,0.0,0.0,47.0,0.0,10.362,639.0,18.0,38719.0,0.0
9.0,2482.0,13.0,0.0,50.0,0.0,0.0,40.0,0.0,13.299,639.0,18.0,38847.0,0.0
4.0,6731.0,16.0,0.0,52.0,0.0,0.0,46.0,0.0,14.141,639.0,18.0,39231.0,0.0
9.0,3286.0,18.0,0.0,40.0,0.0,0.0,52.0,0.0,13.233,639.0,18.0,39363.0,0.0
0.0,161.0,0.0,0.0,46.0,0.0,0.0,55.0,0.0,12.264,639.0,18.0,40015.0,0.0
5.0,1313.0,6.0,0.0,113.0,0.0,0.0,72.0,0.0,11.199,639.0,18.0,40125.0,0.0
3.0,395.0,0.0,0.0,34.0,0.0,0.0,100.0,0.0,10.41,639.0,18.0,40235.0,0.0
6.0,2228.0,9.0,0.0,68.0,0.0,0.0,73.0,0.0,12.279,639.0,18.0,40468.0,0.0
0.0,195.0,0.0,0.0,102.0,0.0,0.0,91.0,0.0,11.168,639.0,18.0,40593.0,0.0
0.0,165.0,0.0,0.0,61.0,0.0,0.0,67.0,0.0,10.152,639.0,18.0,40720.0,0.0
0.0,606.0,2.0,0.0,50.0,0.0,0.0,55.0,0.0,12.187,639.0,18.0,40995.0,0.0
0.0,519.0,0.0,0.0,68.0,0.0,0.0,56.0,0.0,11.233,639.0,18.0,41113.0,0.0
0.0,127.0,0.0,0.0,58.0,0.0,0.0,49.0,0.0,10.169,639.0,18.0,41239.0,0.0
0.0,1115.0,3.0,0.0,62.0,0.0,0.0,24.0,0.0,13.377,639.0,18.0,41352.0,0.0
1.0,1263.0,4.0,0.0,66.0,0.0,0.0,28.0,0.0,12.316,639.0,18.0,41480.0,0.0
0.0,360.0,0.0,0.0,52.0,0.0,0.0,68.0,0.0,13.407,639.0,18.0,41835.0,0.0
0.0,393.0,0.0,0.0,85.0,0.0,0.0,24.0,0.0,11.277,639.0,18.0,42116.0,0.0
2.0,638.0,1.0,0.0,60.0,0.0,0.0,99.0,0.0,12.355,639.0,18.0,42528.0,0.0
1.0,1015.0,0.0,0.0,54.0,0.0,0.0,55.0,0.0,11.291,639.0,18.0,42660.0,0.0
1.0,861.0,0.0,0.0,60.0,0.0,0.0,27.0,0.0,14.226,639.0,18.0,42771.0,0.0
0.0,1707.0,0.0,0.0,53.0,0.0,0.0,44.0,0.0,13.165,639.0,18.0,42901.0,0.0
0.0,221.0,0.0,0.0,61.0,0.0,0.0,21.0,0.0,10.256,639.0,18.0,43259.0,0.0
0.0,3762.0,0.0,0.0,54.0,0.0,0.0,58.0,0.0,12.397,639.0,18.0,43542.0,0.0
6.0,3313.0,11.0,0.0,20.0,0.0,0.0,43.0,0.0,14.209,639.0,18.0,43810.0,0.0
2.0,1491.0,0.0,0.0,66.0,0.0,0.0,73.0,0.0,11.348,639.0,18.0,44241.0,0.0
0.0,609.0,3.0,0.0,62.0,0.0,0.0,63.0,0.0,13.232,639.0,18.0,44452.0,0.0
9.0,1637.0,2.0,0.0,65.0,0.0,0.0,70.0,0.0,11.386,639.0,18.0,44706.0,0.0
0.0,424.0,0.0,0.0,69.0,0.0,0.0,49.0,0.0,10.321,639.0,18.0,44838.0,0.0
0.0,2722.0,7.0,0.0,51.0,0.0,0.0,57.0,0.0,13.257,639.0,18.0,44976.0,0.0
2.0,5034.0,6.0,0.0,48.0,0.0,0.0,36.0,0.0,11.399,639.0,18.0,45201.0,0.0
0.0,5140.0,2.0,0.0,46.0,0.0,0.0,56.0,0.0,10.333,639.0,18.0,45365.0,0.0
6.0,2010.0,6.0,0.0,68.0,0.0,0.0,79.0,0.0,13.268,639.0,18.0,45499.0,0.0
3.0,3805.0,8.0,0.0,97.0,0.0,0.0,50.0,0.0,12.203,639.0,18.0,45620.0,0.0
0.0,2010.0,7.0,0.0,46.0,0.0,0.0,53.0,0.0,11.411,639.0,18.0,45756.0,0.0
0.0,5803.0,1.0,0.0,46.0,0.0,0.0,54.0,0.0,10.187,639.0,18.0,45881.0,0.0
0.0,253.0,0.0,0.0,42.0,0.0,0.0,32.0,0.0,13.186,639.0,18.0,46018.0,0.0
1.0,1258.0,0.0,0.0,69.0,0.0,0.0,69.0,0.0,10.368,639.0,18.0,46436.0,0.0
0.0,757.0,2.0,0.0,74.0,0.0,0.0,41.0,0.0,13.305,639.0,18.0,46573.0,0.0
7.0,3339.0,9.0,0.0,46.0,0.0,0.0,66.0,0.0,12.241,639.0,18.0,46729.0,0.0
0.0,160.0,0.0,0.0,80.0,0.0,0.0,35.0,0.0,11.449,639.0,18.0,46858.0,0.0
5.0,346.0,1.0,0.0,54.0,0.0,0.0,31.0,0.0,10.386,639.0,18.0,47007.0,0.0
0.0,2019.0,0.0,0.0,40.0,0.0,0.0,23.0,0.0,13.209,639.0,18.0,47134.0,0.0
0.0,1459.0,1.0,0.0,68.0,0.0,0.0,64.0,0.0,11.194,639.0,18.0,47409.0,0.0
3.0,2777.0,4.0,0.0,55.0,0.0,0.0,88.0,0.0,14.337,639.0,18.0,47525.0,0.0
0.0,195.0,0.0,0.0,59.0,0.0,0.0,26.0,0.0,12.272,639.0,18.0,47784.0,0.0
5.0,1230.0,0.0,0.0,45.0,0.0,0.0,25.0,0.0,11.208,639.0,18.0,47912.0,0.0
0.0,105.0,0.0,0.0,80.0,0.0,0.0,22.0,0.0,14.275,639.0,18.0,48068.0,0.0
0.0,134.0,0.0,0.0,59.0,0.0,0.0,32.0,0.0,13.304,639.0,18.0,48195.0,0.0
0.0,2462.0,10.0,0.0,50.0,0.0,0.0,45.0,0.0,12.288,639.0,18.0,48333.0,0.0
1.0,987.0,5.0,0.0,60.0,0.0,0.0,23.0,0.0,11.224,639.0,18.0,48469.0,0.0
1.0,261.0,0.0,0.0,58.0,0.0,0.0,84.0,0.0,14.265,639.0,18.0,48594.0,0.0
1.0,1023.0,1.0,0.0,46.0,0.0,0.0,55.0,0.0,13.353,639.0,18.0,48714.0,0.0
2.0,3409.0,8.0,0.0,100.0,0.0,0.0,97.0,0.0,12.305,639.0,18.0,48858.0,0.0
2.0,3270.0,8.0,0.0,70.0,0.0,0.0,24.0,0.0,11.24,639.0,18.0,48984.0,0.0
0.0,452.0,0.0,0.0,45.0,0.0,0.0,32.0,0.0,10.45,639.0,18.0,49097.0,0.0
0.0,179.0,0.0,0.0,75.0,0.0,0.0,52.0,0.0,13.385,639.0,18.0,49222.0,0.0
3.0,1047.0,2.0,0.0,83.0,0.0,0.0,95.0,0.0,11.256,639.0,18.0,49441.0,0.0
3.0,2799.0,15.0,0.0,45.0,0.0,0.0,40.0,0.0,12.335,639.0,18.0,49817.0,0.0
1.0,3142.0,3.0,0.0,49.0,0.0,0.0,78.0,0.0,11.272,639.0,18.0,49963.0,0.0
