enq_qdepth1,deq_timedelta1,deq_qdepth1, enq_qdepth2, deq_timedelta2, deq_qdepth2,enq_qdepth3,deq_timedelta3,deq_qdepth3,Buffer,ReportedBitrate,FPS,CalcBitrate,q_size
3.0,1330.0,7.0,0.0,52.0,0.0,0.0,27.0,0.0,5.0,3232.0,30.0,152465.0,1.0
6.0,5893.0,17.0,0.0,45.0,0.0,0.0,27.0,0.0,5.0,658.0,18.0,118942.0,1.0
6.0,3976.0,7.0,0.0,47.0,0.0,0.0,59.0,0.0,5.0,1908.0,24.0,89114.0,1.0
4.0,1351.0,2.0,0.0,47.0,0.0,0.0,43.0,0.0,5.0,3288.0,30.0,183722.0,1.0
0.0,1680.0,0.0,0.0,45.0,0.0,0.0,40.0,0.0,5.0,1800.0,23.0,81209.0,1.0
0.0,1852.0,0.0,0.0,37.0,0.0,0.0,46.0,0.0,5.0,1568.0,22.0,113667.0,1.0
0.0,1469.0,0.0,0.0,48.0,0.0,0.0,34.0,0.0,5.0,1746.0,23.0,143030.0,1.0
2.0,870.0,3.0,0.0,56.0,0.0,0.0,37.0,0.0,5.0,3272.0,30.0,164938.0,1.0
3.0,371.0,2.0,0.0,51.0,0.0,0.0,42.0,0.0,5.0,3288.0,30.0,285514.0,1.0
3.0,814.0,1.0,0.0,50.0,0.0,0.0,46.0,0.0,5.0,3286.0,30.0,212696.0,1.0
4.0,4807.0,18.0,0.0,40.0,0.0,0.0,48.0,0.0,5.0,2148.0,25.0,125623.0,1.0
1.0,767.0,1.0,0.0,49.0,0.0,0.0,30.0,0.0,5.0,3283.0,30.0,118333.0,1.0
0.0,2015.0,0.0,0.0,64.0,0.0,0.0,34.0,0.0,5.0,1724.0,23.0,90431.0,1.0
0.0,1619.0,0.0,0.0,40.0,0.0,0.0,39.0,0.0,5.0,1720.0,23.0,100920.0,1.0
3.0,2842.0,4.0,0.0,46.0,0.0,0.0,63.0,0.0,6.0,1874.0,24.0,112139.0,1.0
9.0,1579.0,6.0,0.0,49.0,0.0,0.0,30.0,0.0,6.0,3291.0,30.0,299533.0,1.0
6.0,967.0,5.0,0.0,75.0,0.0,0.0,56.0,0.0,6.0,1906.0,24.0,152519.0,1.0
1.0,312.0,1.0,0.0,44.0,0.0,0.0,51.0,0.0,6.0,3291.0,30.0,254599.0,1.0
5.0,3674.0,2.0,0.0,38.0,0.0,0.0,56.0,0.0,6.0,1840.0,24.0,73313.0,1.0
8.0,1836.0,2.0,0.0,40.0,0.0,0.0,56.0,0.0,6.0,1881.0,24.0,80898.0,1.0
10.0,2898.0,3.0,0.0,36.0,0.0,0.0,57.0,0.0,6.0,1848.0,24.0,101275.0,1.0
11.0,483.0,1.0,0.0,62.0,0.0,0.0,76.0,0.0,6.0,3297.0,30.0,261773.0,1.0
1.0,4724.0,6.0,0.0,51.0,0.0,0.0,29.0,0.0,6.0,1841.0,24.0,70589.0,1.0
0.0,1215.0,1.0,0.0,44.0,0.0,0.0,51.0,0.0,6.0,1387.0,21.0,114260.0,1.0
0.0,1459.0,3.0,0.0,36.0,0.0,0.0,51.0,0.0,6.0,1079.0,20.0,167243.0,1.0
10.0,4025.0,16.0,0.0,63.0,0.0,0.0,49.0,0.0,6.0,3306.0,30.0,290430.0,1.0
1.0,630.0,2.0,0.0,55.0,0.0,0.0,30.0,0.0,6.0,3286.0,30.0,191997.0,1.0
13.0,3395.0,13.0,0.0,82.0,0.0,0.0,71.0,0.0,6.0,3305.0,30.0,291517.0,1.0
8.0,1076.0,4.0,0.0,58.0,0.0,0.0,39.0,0.0,6.0,3291.0,30.0,300078.0,1.0
0.0,1219.0,7.0,0.0,49.0,0.0,0.0,41.0,0.0,6.0,1035.0,19.0,188035.0,1.0
6.0,2787.0,4.0,0.0,46.0,0.0,0.0,64.0,0.0,6.0,1947.0,25.0,118752.0,1.0
2.0,2149.0,2.0,0.0,48.0,0.0,0.0,59.0,0.0,6.0,1837.0,24.0,112067.0,1.0
0.0,3738.0,13.0,0.0,52.0,0.0,0.0,69.0,0.0,6.0,697.0,18.0,187934.0,1.0
6.0,1241.0,5.0,0.0,78.0,0.0,0.0,58.0,0.0,6.0,1898.0,24.0,136690.0,1.0
0.0,762.0,4.0,0.0,44.0,0.0,0.0,28.0,0.0,6.0,1153.0,20.0,216810.0,1.0
11.0,2898.0,5.0,0.0,45.0,0.0,0.0,70.0,0.0,6.0,1886.0,24.0,95606.0,1.0
0.0,334.0,0.0,0.0,69.0,0.0,0.0,24.0,0.0,6.0,3291.0,30.0,164606.0,1.0
1.0,916.0,5.0,0.0,43.0,0.0,0.0,32.0,0.0,6.0,1126.0,20.0,155857.0,1.0
8.0,2968.0,2.0,0.0,46.0,0.0,0.0,59.0,0.0,6.0,1846.0,24.0,55703.0,1.0
4.0,1130.0,2.0,0.0,33.0,0.0,0.0,22.0,0.0,6.0,1358.0,21.0,108493.0,1.0
6.0,2328.0,1.0,0.0,53.0,0.0,0.0,53.0,0.0,6.0,1840.0,24.0,58302.0,1.0
1.0,2174.0,1.0,0.0,49.0,0.0,0.0,49.0,0.0,6.0,1824.0,24.0,70768.0,1.0
4.0,2783.0,3.0,0.0,43.0,0.0,0.0,62.0,0.0,6.0,1850.0,24.0,83496.0,1.0
1.0,1092.0,1.0,0.0,48.0,0.0,0.0,28.0,0.0,6.0,1559.0,22.0,225363.0,1.0
13.0,2543.0,10.0,0.0,59.0,0.0,0.0,28.0,0.0,6.0,3291.0,30.0,236980.0,1.0
12.0,5841.0,12.0,0.0,27.0,0.0,0.0,69.0,0.0,6.0,1814.0,24.0,95114.0,1.0
9.0,5046.0,15.0,0.0,37.0,0.0,0.0,49.0,0.0,6.0,1879.0,24.0,126291.0,1.0
10.0,5668.0,9.0,0.0,41.0,0.0,0.0,42.0,0.0,6.0,1853.0,24.0,99545.0,1.0
6.0,1092.0,1.0,0.0,57.0,0.0,0.0,57.0,0.0,6.0,1835.0,24.0,93047.0,1.0
1.0,813.0,1.0,0.0,49.0,0.0,0.0,34.0,0.0,6.0,3282.0,30.0,167008.0,1.0
14.0,1557.0,4.0,0.0,68.0,0.0,0.0,64.0,0.0,6.0,3299.0,30.0,298741.0,1.0
0.0,2175.0,8.0,0.0,49.0,0.0,0.0,48.0,0.0,6.0,831.0,19.0,146954.0,1.0
3.0,1376.0,1.0,0.0,43.0,0.0,0.0,58.0,0.0,7.0,1723.0,23.0,93124.0,1.0
9.0,1821.0,5.0,0.0,78.0,0.0,0.0,54.0,0.0,7.0,1861.0,24.0,185268.0,1.0
4.0,427.0,0.0,0.0,52.0,0.0,0.0,48.0,0.0,7.0,3288.0,30.0,205287.0,1.0
7.0,5953.0,12.0,0.0,37.0,0.0,0.0,33.0,0.0,7.0,1864.0,24.0,144671.0,1.0
2.0,4483.0,5.0,0.0,46.0,0.0,0.0,36.0,0.0,7.0,1838.0,24.0,80331.0,1.0
0.0,4573.0,10.0,0.0,55.0,0.0,0.0,40.0,0.0,7.0,658.0,18.0,185554.0,1.0
7.0,1400.0,2.0,0.0,59.0,0.0,0.0,64.0,0.0,7.0,1841.0,24.0,122950.0,1.0
3.0,4688.0,13.0,0.0,50.0,0.0,0.0,51.0,0.0,7.0,1842.0,24.0,124354.0,1.0
4.0,1488.0,1.0,0.0,34.0,0.0,0.0,34.0,0.0,7.0,1856.0,24.0,86571.0,1.0
4.0,2378.0,4.0,0.0,44.0,0.0,0.0,60.0,0.0,7.0,1842.0,24.0,94988.0,1.0
2.0,437.0,1.0,0.0,40.0,0.0,0.0,25.0,0.0,7.0,1861.0,24.0,137047.0,1.0
0.0,626.0,0.0,0.0,41.0,0.0,0.0,25.0,0.0,7.0,1820.0,24.0,87924.0,1.0
1.0,1764.0,2.0,0.0,46.0,0.0,0.0,63.0,0.0,7.0,1802.0,24.0,133954.0,1.0
2.0,919.0,2.0,0.0,38.0,0.0,0.0,31.0,0.0,7.0,3285.0,30.0,265111.0,1.0
2.0,2668.0,3.0,0.0,43.0,0.0,0.0,67.0,0.0,7.0,1836.0,24.0,126270.0,1.0
6.0,706.0,1.0,0.0,54.0,0.0,0.0,35.0,0.0,7.0,1388.0,21.0,223725.0,1.0
0.0,746.0,0.0,0.0,46.0,0.0,0.0,22.0,0.0,7.0,1865.0,24.0,144071.0,1.0
8.0,5923.0,11.0,0.0,48.0,0.0,0.0,34.0,0.0,7.0,1857.0,24.0,132757.0,1.0
1.0,4702.0,10.0,0.0,46.0,0.0,0.0,28.0,0.0,7.0,1844.0,24.0,102568.0,1.0
1.0,502.0,0.0,0.0,46.0,0.0,0.0,56.0,0.0,7.0,3288.0,30.0,236356.0,1.0
2.0,618.0,0.0,0.0,43.0,0.0,0.0,23.0,0.0,7.0,1803.0,24.0,100998.0,1.0
2.0,611.0,1.0,0.0,68.0,0.0,0.0,52.0,0.0,7.0,1855.0,24.0,141494.0,1.0
9.0,6300.0,14.0,0.0,32.0,0.0,0.0,32.0,0.0,7.0,1863.0,24.0,118879.0,1.0
6.0,6036.0,11.0,0.0,38.0,0.0,0.0,38.0,0.0,7.0,1903.0,24.0,145576.0,1.0
3.0,562.0,1.0,0.0,45.0,0.0,0.0,25.0,0.0,7.0,1827.0,24.0,97575.0,1.0
6.0,2340.0,2.0,0.0,43.0,0.0,0.0,57.0,0.0,7.0,1840.0,24.0,83715.0,1.0
7.0,4948.0,5.0,0.0,58.0,0.0,0.0,23.0,0.0,7.0,3295.0,30.0,151692.0,1.0
2.0,984.0,7.0,0.0,46.0,0.0,0.0,48.0,0.0,7.0,1024.0,19.0,269744.0,1.0
5.0,2978.0,5.0,0.0,39.0,0.0,0.0,69.0,0.0,7.0,1866.0,24.0,167773.0,1.0
3.0,811.0,0.0,0.0,92.0,0.0,0.0,28.0,0.0,7.0,3293.0,30.0,217628.0,1.0
6.0,1155.0,1.0,0.0,43.0,0.0,0.0,42.0,0.0,7.0,1849.0,24.0,98348.0,1.0
3.0,629.0,6.0,0.0,42.0,0.0,0.0,30.0,0.0,7.0,1153.0,20.0,209178.0,1.0
8.0,459.0,2.0,0.0,59.0,0.0,0.0,46.0,0.0,7.0,1844.0,24.0,180084.0,1.0
3.0,1086.0,1.0,0.0,46.0,0.0,0.0,42.0,0.0,7.0,1805.0,24.0,90562.0,1.0
4.0,6132.0,13.0,0.0,37.0,0.0,0.0,26.0,0.0,7.0,2117.0,25.0,102964.0,1.0
4.0,575.0,5.0,0.0,46.0,0.0,0.0,37.0,0.0,7.0,1178.0,20.0,235601.0,1.0
12.0,4678.0,4.0,0.0,35.0,0.0,0.0,84.0,0.0,7.0,1881.0,24.0,87329.0,1.0
13.0,2492.0,1.0,0.0,30.0,0.0,0.0,72.0,0.0,7.0,1755.0,24.0,88873.0,1.0
