timestamp;Buffer;FPS;ReportedBitrate;Resolution;CalcBitrate
1694912784759;3.977;30;3312;1280x720;66
1694912785761;7.064;30;3312;1280x720;464
1694912786761;6.272;30;3312;1280x720;1067
1694912787757;9.215;30;3312;1280x720;1723
1694912788760;12.149;30;3312;1280x720;2344
1694912789760;11.089;30;3312;1280x720;2914
1694912790761;14.298;30;3312;1280x720;3539
1694912791759;13.236;30;3312;1280x720;4138
1694912792767;16.182;30;3312;1280x720;4937
1694912793761;15.118;30;3312;1280x720;5578
1694912794761;14.328;30;3312;1280x720;6272
1694912795758;13.265;30;3312;1280x720;7172
1694912796759;16.198;30;3312;1280x720;7790
1694912797761;15.134;30;3312;1280x720;8443
1694912798761;14.34;30;3312;1280x720;9151
1694912799757;13.277;30;3312;1280x720;9906
1694912800758;16.213;30;3312;1280x720;10736
1694912801760;15.166;30;3312;1280x720;11353
1694912802761;14.1;30;3312;1280x720;12021
1694912803760;13.311;30;3312;1280x720;12643
1694912804760;16.246;30;3312;1280x720;13249
1694912805760;15.186;30;3312;1280x720;13802
1694912806757;14.124;30;3312;1280x720;14495
1694912807761;13.331;30;3312;1280x720;15367
1694912808757;12.273;30;3312;1280x720;16003
1694912809761;11.214;30;3312;1280x720;16701
1694912810761;14.148;30;3312;1280x720;17326
1694912811760;13.359;30;3312;1280x720;17994
1694912812760;12.292;30;3312;1280x720;18739
1694912813760;11.254;30;3312;1280x720;19407
1694912814759;10.171;30;3312;1280x720;20133
1694912815757;9.394;30;3312;1280x720;20808
1694912816759;8.329;30;3312;1280x720;21550
1694912817761;11.166;24;1867;854x480;22176
1694912818760;10.202;24;1867;854x480;22762
1694912819760;9.254;24;1867;854x480;23508
1694912820763;8.338;24;1867;854x480;24100
1694912821769;11.273;24;1867;854x480;24835
1694912822758;14.207;24;1867;854x480;25442
1694912823761;13.143;24;1867;854x480;26129
1694912824761;12.351;24;1867;854x480;26763
1694912825761;11.286;24;1867;854x480;27207
1694912826760;10.222;24;1867;854x480;27545
1694912827761;13.158;24;1867;854x480;27951
1694912828760;12.367;24;1867;854x480;28372
1694912829760;11.303;24;1867;854x480;28737
1694912830761;10.239;24;1867;854x480;29062
1694912831761;9.175;24;1867;854x480;29418
1694912832764;8.381;24;1867;854x480;29947
1694912833757;7.318;24;1867;854x480;30233
1694912834789;6.255;24;1867;854x480;30642
1694912835760;9.196;24;1867;854x480;30998
1694912836761;8.398;24;1867;854x480;31415
1694912837760;7.335;24;1867;854x480;31782
1694912838761;6.271;24;1867;854x480;32144
1694912839757;5.208;24;1867;854x480;32554
1694912840760;8.142;24;1867;854x480;32889
1694912841760;7.354;24;1867;854x480;33272
1694912842760;6.291;24;1867;854x480;33567
1694912843757;5.235;24;1867;854x480;34016
1694912844759;4.165;24;1867;854x480;34456
1694912845761;3.374;24;1867;854x480;34864
1694912846761;6.309;24;1867;854x480;35277
1694912847760;5.245;24;1867;854x480;35667
1694912848760;4.182;24;1867;854x480;36068
1694912849760;3.389;24;1867;854x480;36500
1694912850759;2.322;24;1867;854x480;36908
1694912851761;5.257;18;639;426x240;37339
1694912852760;4.199;18;639;426x240;37742
1694912853761;3.291;18;639;426x240;38050
1694912854761;6.212;18;639;426x240;38191
1694912855760;9.143;18;639;426x240;38321
1694912856761;8.217;18;639;426x240;38462
1694912857761;11.155;18;639;426x240;38591
1694912858761;10.362;18;639;426x240;38719
1694912859757;13.299;18;639;426x240;38847
1694912860761;12.233;18;639;426x240;38976
1694912861760;11.174;18;639;426x240;39100
1694912862757;14.141;18;639;426x240;39231
1694912863760;13.233;18;639;426x240;39363
1694912864760;12.152;18;639;426x240;39499
1694912865762;11.185;18;639;426x240;39627
1694912866761;10.393;18;639;426x240;39750
1694912867760;13.284;18;639;426x240;39872
1694912868761;12.264;18;639;426x240;40015
1694912869761;11.199;18;639;426x240;40125
1694912870761;10.41;18;639;426x240;40235
1694912871761;9.348;18;639;426x240;40338
1694912872761;12.279;18;639;426x240;40468
1694912873761;11.168;18;639;426x240;40593
1694912874761;10.152;18;639;426x240;40720
